日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2020/10/5,7:10,娱乐,打桌球,281,1晚,支付宝,台球厅,和大哥、承华一起
2020/10/4,23:12,烟,芙蓉王,30,1盒,支付宝,台球厅,
2020/10/4,20:14,晚餐,巴犀烧烤自助(民治店),90,1次,支付宝,巴犀烧烤自助(民治店),
2020/10/4,15:10,饮料,3瓶饮料,15,3瓶,支付宝,MTDP-领跑桌球棋牌俱乐部,
2020/10/4,13:40,午餐,凉皮,12.5,1次,支付宝,深圳北站东广场商场,
2020/10/4,12:33,购物,安踏拉链卫衣,395,1次,支付宝,深圳北站东广场商场,
2020/10/4,12:26,购物,匡威灯绒外套+短袖,250,1次,支付宝,深圳北站东广场商场,
2020/10/3,21:41,网购,豆瓣网 豆瓣电影日历2021,168,1次,支付宝,豆瓣APP,李佳文生日
2020/10/1,18:48,超市,巧克力+南京烟+酸奶,36,1次,支付宝,超市,
2020/9/30,18:31,外卖,超级会员加量包订单：3000000006903730810,5,1次,支付宝,饿了么APP,
2020/9/28,9:05,超市,新琪佳便利店订单号：2009280100200184834校验码:2422,14,1次,支付宝,,
2020/9/27,20:37,,商品,21,,支付宝,,
2020/9/27,11:17,外卖,超级会员加量包订单：3000000006705980010,10,1次,支付宝,饿了么APP,
2020/9/26,22:28,晚餐,海底捞深圳三十七店,166,1次,支付宝,海底捞门店,和老蒋一起、总共333
2020/9/21,10:41,医院,处方,3496.26,1次,支付宝,,
2020/9/21,8:10,打车,出租车：金地花园-广州中医药大学,33,1次,支付宝,深圳出租,
2020/9/20,12:36,网购,有品[4200920660101416]号支付：鱼缸,119,1次,支付宝,小米有品APP,
2020/9/18,10:04,外卖,美团外卖满5减5满减券,2,1张,支付宝,联通手机营业厅,
,,,,,,,,
