日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注
2020/08/20,20:04,夜宵,美团订单-20082011100400000003697736473056,18.96,1份,支付宝,美团外卖APP,
2020/08/20,16:04,晚餐,美团订单-20082011100400000003680645739056,30.00,1份,支付宝,美团外卖APP,
2020/08/20,10:48,午餐,美团订单-20082011100400000003655401325056,23.60,1份,支付宝,美团外卖APP,
2020/08/20,07:54,,挂号费,25.00,,支付宝,,
2020/08/19,16:24,网购,古力巴戈新疆核桃2019新货纸皮核桃原味薄皮核桃原味核桃仁包邮,7.90,1次,支付宝,淘宝APP,
2020/08/19,11:27,午餐,美团订单-20081911100400000003584451006056,15.80,1份,支付宝,美团外卖APP,
2020/08/19,09:00,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5.00,1份,支付宝,楼下包子铺,
2020/08/18,18:32,,商品,15.00,,支付宝,,
2020/08/18,11:22,午餐,美团订单-20081811100300000003524285320056,14.60,1份,支付宝,美团外卖APP,
2020/08/18,08:58,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5.00,1份,支付宝,楼下包子铺,
2020/08/17,20:27,夜宵,美团订单-20081710100000000003502605025056,10.88,1份,支付宝,美团外卖APP,
2020/08/17,11:22,午餐,美团订单-20081710100000000003461832127056,18.90,1份,支付宝,美团外卖APP,
2020/08/17,08:53,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5.00,1份,支付宝,楼下包子铺,
2020/08/16,22:36,网购,纯水乐饮用纯净水整箱矿泉水550ml*24瓶大瓶 等多件,0.00,1次,支付宝,淘宝APP,
2020/08/16,18:00,晚餐,美团点评点餐订单-0816132500091,197.00,1次,支付宝,楼下肥肠店,
2020/08/16,09:53,午餐,美团订单-20081611100400000003392472531056,12.56,1份,支付宝,美团外卖APP,
2020/08/15,19:23,晚餐,美团订单-20081511100400000003368859371056,7.64,1份,支付宝,美团外卖APP,
2020/08/15,12:31,午餐,美团订单-20081511100400000003341541908056,19.30,1份,支付宝,美团外卖APP,
2020/08/14,17:44,网购,GOLDENSUN/金日 甲硝唑片 0.2g*48片/盒 等多件,31.80,1次,支付宝,淘宝APP,
2020/08/14,17:40,晚餐,美团订单-20081411100400000003296435972056,9.60,1份,支付宝,美团外卖APP,
2020/08/14,17:23,网购,商户单号XP0020081417200176879892007466,4.98,1个,支付宝,拼多多APP,
2020/08/14,17:19,网购,商户单号XP0020081417201214645758001112,18.80,1个,支付宝,拼多多APP,
2020/08/14,16:51,网购,商户单号XP1120081416201213714888000820,15.80,1个,支付宝,拼多多APP,
2020/08/14,11:18,午餐,美团订单-20081411100400000003269670712056,9.80,1份,支付宝,美团外卖APP,
2020/08/14,10:07,,美团外卖满10减10满减券,2.60,,支付宝,,
2020/08/14,09:09,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5.00,1份,支付宝,楼下包子铺,
2020/08/14,08:38,保险,相互宝分摊-8月第1期-*博,4.15,1期,支付宝,支付宝APP,
2020/08/13,20:04,夜宵,美团订单-20081311100400000003248049458056,22.90,1份,支付宝,美团外卖APP,
2020/08/13,12:36,,转账,1000.00,,支付宝,,
2020/08/13,12:25,,转账,1050.00,,支付宝,,
2020/08/13,11:22,午餐,美团订单-20081311100400000003209459197056,9.80,1份,支付宝,美团外卖APP,
2020/08/13,09:07,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5.00,1份,支付宝,楼下包子铺,
2020/08/12,11:19,午餐,美团订单-20081211100400000003150770098056,17.60,1份,支付宝,美团外卖APP,
2020/08/12,09:01,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5.00,1份,支付宝,楼下包子铺,
2020/08/11,11:22,午餐,美团订单-20081111100400000003090776280056,18.00,1份,支付宝,美团外卖APP,
2020/08/11,09:03,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5.00,1份,支付宝,楼下包子铺,
2020/08/10,11:21,午餐,美团订单-20081011100400000003031321998056,11.80,1份,支付宝,美团外卖APP,
2020/08/10,10:56,网购,商户单号XP0020081010201026612455005278,12.85,1个,支付宝,拼多多APP,
2020/08/10,09:03,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5.00,1份,支付宝,楼下包子铺,
2020/08/09,18:53,网购,古力巴戈新疆核桃2019新货纸皮核桃原味薄皮核桃原味核桃仁包邮,0.00,1次,支付宝,淘宝APP,
2020/08/09,18:50,网购,百草味 夏威夷果218g休闲零食特产每日坚果炒货干果仁奶油味小吃 等多件,0.00,1次,支付宝,淘宝APP,
2020/08/09,18:46,网购,天猫超市卡350元面额（美的专享）,350.00,1次,支付宝,淘宝APP,
2020/08/09,18:28,晚餐,美团订单-20080911100400000003000518784056,20.60,1份,支付宝,美团外卖APP,
2020/08/09,18:22,晚餐,美团订单-20080911100400000003000117498056,1.90,1份,支付宝,美团外卖APP,
