日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注
2021/01/04,12:24,午餐,鸡蛋炒刀削,19.00,1次,支付宝,公司附近兰州拉面门店,
2021/01/04,08:39,网购,刻章印章定刻印章姓名定做签名盖章制作私章刻张印章圆定制光敏章,25.00,1次,支付宝,淘宝APP,
2021/01/03,17:43,晚餐,都市果切(布吉店),16.00,1次,支付宝,饿了么APP,
2021/01/03,17:40,网购,串意十足烧烤店(布吉店)外卖订单,22.10,1次,支付宝,饿了么APP,
2021/01/03,17:39,网购,串意十足 3张 3元无门槛代金券,1.80,1次,支付宝,淘宝APP,
2021/01/02,15:12,网购,陕西面馆外卖订单,23.90,1次,支付宝,饿了么APP,
2021/01/02,15:07,网购,商户单号XP1021010215500337568093002018,17.93,1个,支付宝,拼多多APP,
2021/01/02,15:02,网购,商户单号XP1821010215501408084382007180,13.41,1个,支付宝,拼多多APP,
2021/01/02,14:58,网购,商户单号XP1021010214500337451165000852,11.68,1个,支付宝,拼多多APP,
2021/01/02,14:53,网购,商户单号XP2421010214500337373436002979,18.96,1个,支付宝,拼多多APP,
2021/01/02,14:46,网购,商户单号XP2321010214501409834925004910,8.80,1个,支付宝,拼多多APP,
2021/01/02,14:44,网购,商户单号XP2521010214500339197595002694,10.80,1个,支付宝,拼多多APP,
2021/01/02,14:40,网购,商户单号XP2421010214500337192729006735,38.80,1个,支付宝,拼多多APP,
2021/01/02,14:37,网购,商户单号XP2321010214500337158764000737,7.69,1个,支付宝,拼多多APP,
2021/01/02,14:35,网购,商户单号XP2521010214501409674101003710,7.53,1个,支付宝,拼多多APP,
2021/01/02,14:32,网购,商户单号XP1721010214501409628898003480,15.36,1个,支付宝,拼多多APP,
2021/01/02,14:29,网购,商户单号XP2021010214500338993587006425,24.34,1个,支付宝,拼多多APP,
2021/01/02,14:26,网购,商户单号XP1421010214501407582162001823,18.66,1个,支付宝,拼多多APP,
2021/01/02,14:25,网购,商户单号XP2521010214500338940262007893,18.71,1个,支付宝,拼多多APP,
2021/01/02,14:19,网购,商户单号XP1021010214500338847654003078,2.40,1个,支付宝,拼多多APP,
2021/01/02,08:42,网购,紫皮独蒜 150g等多件,85.29,1次,支付宝,淘宝APP,
2021/01/02,08:35,网购,海天家庭锦鲤派家庭省心套装等多件,79.03,1次,支付宝,淘宝APP,
2021/01/02,08:27,网购,王守义十三香辣椒  55g等多件,102.35,1次,支付宝,淘宝APP,
2021/01/01,22:07,夜宵,收钱码收款,30.00,1次,支付宝,兰州拉面(佳兆业·大都会楼下),
2021/01/01,11:38,午餐,鲜果派对·甘草水果(布吉店),14.20,1次,支付宝,饿了么APP,
2021/01/01,11:37,午餐,一碗1949豆腐脑·炸酱面(布吉店)外卖订单,13.78,1次,支付宝,饿了么APP,
2021/01/01,11:37,外卖红包,超级会员加量包订单：3000000012076986110,20.00,8张,支付宝,饿了么APP,
2021/01/01,00:03,,有品[4210101154901291]号支付,248.56,1次,支付宝,,
2020/12/31,19:20,网购,正新鸡排(龙珠花园店)外卖订单,17.98,1次,支付宝,饿了么APP,
2020/12/31,18:07,,有品[4201231107500169]号支付,50.00,1次,支付宝,,
2020/12/31,12:48,午餐,收钱码收款,17.00,1次,支付宝,公司附近兰州拉面门店,
2020/12/30,23:58,,有品[4201230102504443]号支付,50.00,1次,支付宝,,
2020/12/30,20:10,夜宵,好吃不过饺子坊(布吉总店)外卖订单,15.80,1次,支付宝,饿了么APP,
2020/12/30,20:09,外卖红包,超级会员加量包订单：3000000012029962210,5.00,2张,支付宝,饿了么APP,
2020/12/30,14:52,网购,商户单号XP2320123014500237796850003230,1.88,1个,支付宝,拼多多APP,
2020/12/30,11:32,网购,云南砂锅米线(福田KKONE店)外卖订单,12.98,1次,支付宝,饿了么APP,
2020/12/30,10:42,网购,商户单号XP1220123010500232640079006032,15.90,1个,支付宝,拼多多APP,
2020/12/30,10:32,网购,商户单号XP1620123010500230551404003807,1.61,1个,支付宝,拼多多APP,
2020/12/30,10:29,网购,商户单号XP1620123010501331070320003921,4.58,1个,支付宝,拼多多APP,
2020/12/30,10:26,网购,商户单号XP1420123010501329059252005981,5.86,1个,支付宝,拼多多APP,
2020/12/30,10:19,网购,商户单号XP1320123010500230383494006833,28.06,1个,支付宝,拼多多APP,
2020/12/30,10:06,网购,商户单号XP1320123010501328813153003456,16.63,1个,支付宝,拼多多APP,
2020/12/30,09:32,网购,商户单号XP1320123009501326352375000201,24.89,1个,支付宝,拼多多APP,
2020/12/30,09:28,网购,商户单号XP1420123009501322345972006253,13.37,1个,支付宝,拼多多APP,
2020/12/30,08:42,网购,商户单号XP1320123008501321818202002343,15.90,1个,支付宝,拼多多APP,
2020/12/29,18:33,网购,喜公子·大碗牛肉面(布吉店)外卖订单,19.90,1次,支付宝,饿了么APP,
2020/12/29,12:46,午餐,商品,20.00,1次,支付宝,公司附近兰州拉面门店,
2020/12/29,10:30,网购,商户单号XP1220122910500210170042006011,19.93,1个,支付宝,拼多多APP,
2020/12/29,09:29,网购,商户单号XP2520122909501290021575002108,54.00,1个,支付宝,拼多多APP,
2020/12/29,09:02,网购,商户单号XP1020122909501293658477005028,7.22,1个,支付宝,拼多多APP,
2020/12/28,19:17,网购,商户单号XP1320122819500196382518001634,13.97,1个,支付宝,拼多多APP,
2020/12/28,18:30,晚餐,拉面,15.00,1次,支付宝,公司附近兰州拉面门店,
2020/12/28,14:38,保险,相互宝分摊-12月第2期-*博,5.31,1期,支付宝,支付宝APP,
2020/12/28,11:26,网购,西安小吃(上沙椰树村店)外卖订单,18.10,1次,支付宝,饿了么APP,
2020/12/28,09:46,话费,为18598046892交费100.00元,99.50,1次,支付宝,联通手机营业厅APP,
2020/12/27,21:52,网购,喜公子·大碗牛肉面(布吉店)外卖订单,15.90,1次,支付宝,饿了么APP,
