日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注
2020/8/26,9:23,超市,711Payment,5.5,1次,支付宝-花呗,7-Eleven便利店,
2020/8/30,9:56,早餐,肉包子*1、菜包子*1、茶叶蛋*1、水煮蛋*1、豆浆*1,9,1份,支付宝,楼下包子铺,
2020/8/28,9:02,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5,1份,支付宝,楼下包子铺,
2020/8/27,9:05,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5,1份,支付宝,楼下包子铺,
2020/8/25,8:56,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5,1份,支付宝,楼下包子铺,
2020/8/24,8:58,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5,1份,支付宝,楼下包子铺,
2020/8/21,8:50,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5,1份,支付宝,楼下包子铺,
2020/8/31,11:24,午餐,红枣南瓜粥+香炸黄金鸡肉块,14.7,1份,支付宝,美团外卖APP,
2020/8/30,11:17,午餐,重庆小面+狼牙土豆,18.68,1份,支付宝,美团外卖APP,
2020/8/29,19:45,晚餐,水果,21.3,1份,支付宝,美团外卖APP,
2020/8/29,19:37,晚餐,臊子面+肉夹馍,20.8,1份,支付宝,美团外卖APP,
2020/8/28,17:58,晚餐,鸡排,14.5,1份,支付宝,美团外卖APP,
2020/8/28,11:25,午餐,抄手,14,1份,支付宝,美团外卖APP,
2020/8/27,12:37,午餐,大众点评订单-20082711100400000004114357872056,125,1份,支付宝,美团外卖APP,
2020/8/26,20:13,夜宵,油泼棍棍面+煎饼卷土豆丝+冰红茶,19.8,1份,支付宝,美团外卖APP,
2020/8/26,11:18,午餐,羊肉粉丝汤,20.5,1份,支付宝,美团外卖APP,
2020/8/25,11:17,午餐,粥,16.8,1份,支付宝,美团外卖APP,
2020/8/24,11:23,午餐,西红柿鸡蛋面,24,1份,支付宝,美团外卖APP,
2020/8/23,10:47,午餐,煎饼果子+烤冷面,17,1份,支付宝,美团外卖APP,
2020/8/22,19:15,晚餐,珍珠奶茶,8.81,1份,支付宝,美团外卖APP,
2020/8/22,19:11,晚餐,韭菜鸡蛋饺子,12.88,1份,支付宝,美团外卖APP,
2020/8/22,10:33,午餐,酱饼+胡辣汤,20.38,1份,支付宝,美团外卖APP,
2020/8/21,18:01,晚餐,孜然牛肉面,19.8,1份,支付宝,美团外卖APP,
2020/8/21,11:23,午餐,馄饨,13,1份,支付宝,美团外卖APP,
2020/8/20,20:04,夜宵,饺子,18.96,1份,支付宝,美团外卖APP,
2020/8/20,16:04,晚餐,烤生蚝+烤扇贝,30,1份,支付宝,美团外卖APP,
2020/8/20,10:48,午餐,粥,23.6,1份,支付宝,美团外卖APP,
2020/8/30,10:37,网购,海盐,9.88,1个,支付宝,拼多多APP,
2020/8/30,10:19,网购,丰年虾孵化桶,8.5,1个,支付宝,拼多多APP,
2020/8/30,10:12,网购,丰年虾卵,20.5,1个,支付宝,拼多多APP,
2020/8/30,10:08,网购,省钱月卡,9.9,1个,支付宝,拼多多APP,
2020/8/27,11:18,网购,黑壳虾,9.9,1个,支付宝,拼多多APP,
2020/8/26,14:10,网购,电磨机,39.9,1个,支付宝,拼多多APP,
2020/8/21,17:38,网购,红斑马鱼,4.9,10条,支付宝,拼多多APP,
2020/8/21,16:18,网购,红孔雀鱼,12.9,2对,支付宝,拼多多APP,
,,,,,,,,
2020/8/21,23:55,网购,天猫超市,37.07,1次,支付宝,淘宝APP,总共87.07，老蒋付了47
2020/8/28,8:54,保险,相互宝分摊-8月第2期-*博,4.11,1期,支付宝,支付宝APP,
2020/8/31,2:13,聚餐,与私教聚餐,248,1次,支付宝,烤鱼店,
2020/8/29,18:36,饮品,康师傅康师傅冰红茶500ml,5,1次,支付宝,自动售货机,
2020/8/29,10:37,超市,水*2、红牛*1、士力架*2,20,1次,支付宝,便利店,
2020/8/24,22:12,话费,为18598046892交费30.00元,29.85,1次,支付宝,联通手机营业厅,
2020/8/23,15:41,打车,高德地图打车订单,6,1次,支付宝,高德地图APP,
2020/8/22,16:49,未知,商品,10,1次,支付宝,未知,
,,,,,,,,
