日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注
2020/12/06,18:31,网购,苏小西炸串(福田店)外卖订单,17.60,1次,支付宝,淘宝APP,
2020/12/06,11:58,午餐,鲜果派对·甘草水果(新洲店),25.80,1次,支付宝,饿了么APP,
2020/12/06,11:45,网购,牛大碗牛肉面(福田店)外卖订单,18.49,1次,支付宝,淘宝APP,
2020/12/05,17:20,网购,小辣椒麻辣拌·麻辣烫(福田店)外卖订单,17.14,1次,支付宝,淘宝APP,
2020/12/04,22:29,网购,四川黄心猕猴桃时令金果应季奇异果新鲜水果弥猴桃整箱包邮泥猴桃,6.50,1次,支付宝,淘宝APP,
2020/12/04,22:25,网购,纯水乐饮用纯净水整箱矿泉水550ml*24瓶大瓶 等多件,0.76,1次,支付宝,淘宝APP,
2020/12/04,11:38,午餐,超级吃货卡订单：3000000010694880510,2.00,1次,支付宝,饿了么APP,
2020/12/03,18:51,晚餐,拉面,15.00,1次,支付宝,公司附近兰州拉面门店,
2020/12/02,18:33,晚餐,商品,16.00,1次,支付宝,公司附近兰州拉面门店,
2020/12/01,21:19,,重庆粉面-沙尾店,10.00,,支付宝,,
2020/12/01,19:44,晚餐,商品,16.00,1次,支付宝,公司附近兰州拉面门店,
2020/12/01,12:50,午餐,鸡蛋炒拉面,19.00,1次,支付宝,公司附近兰州拉面门店,
2020/12/01,11:49,,商品,27.00,,支付宝,,
2020/12/01,10:43,,商品,60.00,,支付宝,,
2020/12/01,09:21,,商品,25.00,,支付宝,,
2020/11/28,15:28,网购,【火拼价】安踏官网旗舰运动套装男2020新款爸爸秋装男士休闲套头卫衣运动服,0.00,1次,支付宝,淘宝APP,
2020/11/28,15:28,网购,【火拼价】UOOHE长袖卫衣男士潮流春秋季无帽圆领笑脸白色上衣情侣纯色外套,0.00,1次,支付宝,淘宝APP,
2020/11/28,15:28,网购,【火拼价】UOOHE港风加绒卫衣男秋季情侣白色圆领套头潮流宽松ins长袖上衣潮,0.00,1次,支付宝,淘宝APP,
2020/11/28,11:34,保险,相互宝分摊-11月第2期-*博,4.83,1期,支付宝,支付宝APP,
2020/11/25,22:09,饮品,智能货柜消费,6.00,1瓶,支付宝,友宝售货机,
2020/11/25,13:47,,转账到银行卡-转账,3950.00,,支付宝,,
2020/11/24,22:09,饮品,智能货柜消费,6.00,1瓶,支付宝,友宝售货机,
2020/11/24,20:13,,深圳洪福东北水饺沙嘴店,16.00,,支付宝,,
2020/11/22,14:13,网购,唐狮2020秋季新款卫衣男圆领宽松条纹长袖上衣套头衫港风潮流ins 等多件,239.80,1次,支付宝,淘宝APP,
2020/11/21,11:45,网购,南极人男士内裤男冰丝无痕透气抑菌平角裤薄款夏季青年四角裤头ZL,44.91,1次,支付宝,淘宝APP,
