日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注
2020/11/14,12:30,保险,相互宝分摊-11月第1期-*博,4.83,1期,支付宝,支付宝APP,
2020/10/28,9:06,保险,相互宝分摊-10月第2期-*博,4.86,1期,支付宝,支付宝APP,
2020/11/8,22:05,饮品,红牛*2,15,1瓶,支付宝,友宝售货机,
2020/10/31,21:25,饮品,脉动,6,1瓶,支付宝,友宝售货机,
2020/11/12,10:03,未知,杨铭宇黄焖鸡米饭,8.5,1次,支付宝,未知,
2020/11/11,1:03,网购,卫龙辣条大面筋65g辣味零食儿时办公室怀旧小零食凑单 等多件,0,1次,支付宝,淘宝APP,共169.2，蒋：85，我：84.2
2020/11/11,1:03,网购,天猫超市卡388元面额（活动定制）,388,1次,支付宝,淘宝APP,
2020/11/1,12:15,网购,科大讯飞录音笔SR101讯飞录音专业高清降噪智能录音转文字便携小,499,1次,支付宝,淘宝APP,
2020/11/1,12:13,网购,双11预售李宁篮球鞋官网体育男鞋闪击Team2020新款鞋子男士运动鞋,200.88,1次,支付宝,淘宝APP,
2020/10/30,10:53,网购,双11预售李宁篮球鞋官网体育男鞋闪击Team2020新款鞋子男士运动鞋,40,1次,支付宝,淘宝APP,
2020/10/27,12:15,网购,天猫超市卡0.01元活动专用（参与活动一个账号只能绑定一张）,0.3,1次,支付宝,淘宝APP,
2020/10/27,1:13,网购,滴露健康沐浴露沐浴乳浴液 薄荷冰爽950g家庭装夏 清凉男士泡沫 等多件,0,1次,支付宝,淘宝APP,总共：148.79，蒋：58.73，我：90.06
2020/10/31,19:25,快递,散单运费-顺丰速运,31,1次,支付宝,顺丰,给李静寄鞋子
2020/10/31,18:02,购物,BHNL171N01|Air Jordan,0,1次,支付宝,深圳AJ门店,￥999，给李静代购
2020/11/9,23:00,夜宵,螺狮粉,32,1次,支付宝,沙尾小店,请大哥吃螺狮粉，大哥请的猪排
2020/10/28,18:12,晚餐,羊肉面,24,1次,支付宝-花呗,黔派虾子羊肉粉-天安店,
2020/11/16,23:19,网购,鱼缸加热棒,3.9,1个,支付宝,拼多多APP,
2020/11/5,10:20,网购,鱼缸过滤棉,1.9,1个,支付宝,拼多多APP,
2020/10/27,19:12,网购,透明洗漱包,3.98,1个,支付宝,拼多多APP,
2020/11/8,23:06,还款,美团订单-20110811100400000008652975804056,993.9,1次,支付宝,美团月付,
2020/10/31,19:01,晚餐,韩国料理,20.3,1次,支付宝,美团外卖APP,
2020/10/31,18:56,水果,水果,20.4,1次,支付宝,美团外卖APP,
2020/11/13,12:17,午餐,鸡蛋炒拉面,19,1次,支付宝,公司附近兰州拉面门店,
2020/11/5,18:41,晚餐,鸡蛋炒拉面,19,1次,支付宝,公司附近兰州拉面门店,
2020/11/14,20:02,夜宵,大叔烧烤店(深圳店)外卖订单,10.51,1次,支付宝,饿了么APP,
2020/11/14,10:41,午餐,觅姐汤可以喝的麻辣烫（下沙深圳店）外卖订单,28.98,1次,支付宝,饿了么APP,
2020/11/13,17:56,晚餐,韦小堡?炸鸡汉堡(新洲店)外卖订单,13.9,1次,支付宝,饿了么APP,
2020/11/12,11:50,午餐,鲜果派对·甘草水果(车公庙店),18.6,1次,支付宝,饿了么APP,
2020/11/12,11:43,午餐,杨国福麻辣烫(新洲店)外卖订单,12.98,1次,支付宝,饿了么APP,
2020/11/11,11:23,午餐,小辣椒麻辣拌·麻辣烫(福田店)外卖订单,18.84,1次,支付宝,饿了么APP,
2020/11/10,11:25,午餐,牛家人大碗牛肉面(中心书城店)外卖订单,14.49,1次,支付宝,饿了么APP,
2020/11/9,11:27,午餐,江南家小碗菜(皇岗店)外卖订单,12.5,1次,支付宝,饿了么APP,
2020/11/8,16:47,晚餐,鲜果派对·甘草水果(车公庙店),16.4,1次,支付宝,饿了么APP,
2020/11/8,16:44,晚餐,杨国福麻辣烫(新洲店)外卖订单,16.22,1次,支付宝,饿了么APP,
2020/11/8,11:38,午餐,韦小堡?炸鸡汉堡(新洲店)外卖订单,15.8,1次,支付宝,饿了么APP,
2020/11/7,21:16,夜宵,鲜果派对·甘草水果(车公庙店),19.8,1次,支付宝,饿了么APP,
2020/11/7,13:33,午餐,秦都面馆外卖订单,13,1次,支付宝,饿了么APP,
2020/11/6,18:08,晚餐,切果吧.甘草水果(新洲店),20.2,1次,支付宝,饿了么APP,
2020/11/6,18:04,晚餐,叫了只炸鸡(香蜜湖店)外卖订单,19.8,1次,支付宝,饿了么APP,
2020/11/5,11:26,午餐,秦都面馆外卖订单,15.8,1次,支付宝,饿了么APP,
2020/11/5,11:24,午餐,秦都面馆外卖订单,23.8,1次,支付宝,饿了么APP,
2020/11/4,11:27,午餐,秦都面馆外卖订单,16,1次,支付宝,饿了么APP,
2020/11/3,11:24,午餐,开封羊汤馆外卖订单,17.5,1次,支付宝,饿了么APP,
2020/11/2,22:55,夜宵,北方饺子馆(福田店)外卖订单,11.48,1次,支付宝,饿了么APP,
2020/10/31,12:12,午餐,老家蒸面·胡辣汤(竹园店)外卖订单,17.9,1次,支付宝,饿了么APP,
2020/10/30,18:00,晚餐,叫了只炸鸡(香蜜湖店)外卖订单,21.8,1次,支付宝,饿了么APP,
2020/10/30,11:24,午餐,牛家人大碗牛肉面(中心书城店)外卖订单,16.9,1次,支付宝,饿了么APP,
