日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注
2020/07/28,14:44,保险,相互宝分摊-7月第2期-*博,3.93,1期,支付宝,支付宝APP,
2020/07/28,11:18,午餐,美团订单-20072810100000000002223308280056,16.00,1份,支付宝,美团外卖APP,
2020/07/28,08:54,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5.00,1份,支付宝,楼下包子铺,
2020/07/27,14:23,网购,商户单号XP0020072714200381555966005388,10.20,1个,支付宝,拼多多APP,
2020/07/27,14:18,网购,商户单号XP0020072714200381362968006553,4.58,1个,支付宝,拼多多APP,
2020/07/27,11:13,午餐,美团订单-20072710100000000002168731756056,15.00,1份,支付宝,美团外卖APP,
2020/07/27,10:58,网购,商户单号XP0020072710201406549632000730,8.61,1个,支付宝,拼多多APP,
2020/07/27,10:44,网购,商户单号XP0020072710200372813380003417,12.90,1个,支付宝,拼多多APP,
2020/07/27,08:58,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5.00,1份,支付宝,楼下包子铺,
2020/07/26,22:44,网购,商户单号XP0020072622201393057707001915,15.44,1个,支付宝,拼多多APP,
2020/07/26,22:42,网购,商户单号XP0020072622201392866825004076,2.80,1个,支付宝,拼多多APP,
2020/07/26,22:38,网购,商户单号XP0020072622201392496066002717,3.54,1个,支付宝,拼多多APP,
2020/07/26,21:33,夜宵,美团订单-20072610100000000002153881222056,53.00,1份,支付宝,美团外卖APP,
2020/07/26,20:26,夜宵,美团收银716977036807274496,260.00,1次,支付宝,楼下肥肠店,
2020/07/26,13:03,网购,商户单号XP0020072613200333826954000765,23.60,1个,支付宝,拼多多APP,
2020/07/26,13:02,网购,商户单号XP0020072613200333507416003048,23.06,1个,支付宝,拼多多APP,
2020/07/26,13:00,网购,商户单号XP0020072613201367529073006735,43.00,1个,支付宝,拼多多APP,
2020/07/26,12:11,午餐,美团订单-20072610100000000002118870730056,24.78,1份,支付宝,美团外卖APP,
2020/07/26,10:03,,匹克态极2.0pro跑步鞋官方旗舰店透气夏季织面加厚态极中底运动鞋,549.00,,支付宝,,
2020/07/25,20:14,夜宵,美团订单-20072510100000000002091115126056,17.70,1份,支付宝,美团外卖APP,
2020/07/25,11:36,午餐,美团订单-20072510100000000002055549533056,34.90,1份,支付宝,美团外卖APP,
