日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注
2020/12/17,11:25,午餐,秦都面馆外卖订单,16.7,1次,支付宝,饿了么APP,
2020/12/16,11:41,网购,重庆小面(车公庙店)外卖订单,14.09,1次,支付宝,饿了么APP,
2020/12/15,11:28,网购,秦都面馆外卖订单,19.7,1次,支付宝,饿了么APP,
2020/12/14,11:39,网购,云南砂锅米线(福田KKONE店)外卖订单,16.96,1次,支付宝,饿了么APP,
2020/12/13,18:57,网购,老广式茶点·炒粉外卖订单,13.8,1次,支付宝,饿了么APP,
2020/12/13,16:14,晚餐,切果吧.甘草水果(新洲店),18.5,1次,支付宝,饿了么APP,
2020/12/13,16:12,网购,苏小西炸串(福田店)外卖订单,2,1次,支付宝,饿了么APP,
2020/12/13,11:04,网购,苗家酱香饼·特色红烧牛肉面(下沙店)外卖订单,17.96,1次,支付宝,饿了么APP,
2020/12/12,17:44,晚餐,苏小西炸串(福田店)外卖订单,4.3,1次,支付宝,饿了么APP,
2020/12/12,11:25,网购,老家蒸面·胡辣汤(竹园店)外卖订单,25,1次,支付宝,饿了么APP,
2020/12/11,18:14,网购,正新鸡排(下沙店)外卖订单,27.5,1次,支付宝,饿了么APP,
2020/12/11,11:31,网购,秦都面馆外卖订单,16.8,1次,支付宝,饿了么APP,
2020/12/10,11:33,网购,云南砂锅米线(福田KKONE店)外卖订单,15.96,1次,支付宝,饿了么APP,
2020/12/9,11:41,网购,秦都面馆外卖订单,15.8,1次,支付宝,饿了么APP,
2020/12/8,11:36,网购,千里香馄饨铺外卖订单,14.9,1次,支付宝,饿了么APP,
2020/12/7,11:38,网购,缘禾米日式简餐寿司(福田店)外卖订单,11.7,1次,支付宝,饿了么APP,
2020/12/6,18:31,网购,苏小西炸串(福田店)外卖订单,17.6,1次,支付宝,饿了么APP,
2020/12/17,19:38,晚餐,鸡蛋炒刀削,19,1次,支付宝,公司附近兰州拉面门店,
2020/12/16,18:43,晚餐,拉面,15,1次,支付宝,公司附近兰州拉面门店,
2020/12/15,18:32,晚餐,鸡蛋炒刀削,19,1次,支付宝,公司附近兰州拉面门店,
2020/12/14,18:39,晚餐,拉面,15,1次,支付宝,公司附近兰州拉面门店,
2020/12/9,18:20,晚餐,拉面,15,1次,支付宝,公司附近兰州拉面门店,
2020/12/8,18:03,晚餐,拉面,15,1次,支付宝,公司附近兰州拉面门店,
2020/12/7,18:31,晚餐,鸡蛋炒刀削,19,1次,支付宝,公司附近兰州拉面门店,
2020/12/10,10:13,话费,为18598046892交费30.00元,14.91,1次,支付宝,联通手机营业厅APP,
2020/12/8,11:49,网购,水草肥,4.9,1个,支付宝,拼多多APP,
2020/12/7,23:11,网购,鱼缸加热棒,19.9,1个,支付宝,拼多多APP,
2020/12/7,22:58,网购,省钱月卡,1,1个,支付宝,拼多多APP,
2020/12/13,11:09,网购,【8斤现货】展卉泰国龙眼5斤现摘新鲜水果大桂圆甜应季整箱包邮10,9.9,1次,支付宝,淘宝APP,
2020/12/13,10:04,网购,全年88VIP,88,1次,支付宝,淘宝APP,
2020/12/12,17:38,网购,【优选顺丰包邮】荣耀X10 MAX大屏双扬声器5G全网通手机天玑800,2374.05,1次,支付宝,淘宝APP,
2020/12/12,11:16,网购,苏小西炸串 3张 30元无门槛代金券(硬核饭票),43.2,1次,支付宝,淘宝APP,
2020/12/7,20:30,网购,【火拼价】安踏官网旗舰运动套装男2020新款爸爸秋装男士休闲套头卫衣运动服,194.62,1次,支付宝,淘宝APP,
2020/12/7,17:25,网购,【火拼价】UOOHE港风加绒卫衣男秋季情侣白色圆领套头潮流宽松ins长袖上衣潮,96.63,1次,支付宝,淘宝APP,
2020/12/7,17:25,网购,【火拼价】UOOHE长袖卫衣男士潮流春秋季无帽圆领笑脸白色上衣情侣纯色外套,74.75,1次,支付宝,淘宝APP,
2020/12/14,11:33,保险,相互宝分摊-12月第1期-*博,4.83,1期,支付宝,支付宝APP,
2020/12/19,19:22,晚餐,汉堡王,29,1次,支付宝,汉堡王门店,
2020/12/18,21:41,晚餐,美团收银769542038176989184,111,1次,支付宝,木屋烧烤门店,和老蒋、强哥，111/人
,,,,,,,,
2020/12/11,11:33,充值,美团外卖会员尊享月卡,4.9,1次,支付宝,,
2020/12/10,8:15,还款,转账,2500,1次,支付宝,,还给老蒋2500
2020/12/8,16:12,还款,美团订单-20120811100400000000724143857056,561.26,1次,支付宝,美团APP,
2020/12/8,11:31,外卖红包,超级会员加量包订单：3000000010939342310,25,1次,支付宝,饿了么APP,
