日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注
2020/9/6,22:38,打车,高德地图打车订单,11.04,1次,支付宝,高德地图APP,
2020/9/10,18:44,晚餐,拉面,15,1次,支付宝,公司附近兰州拉面门店,
2020/9/3,19:05,晚餐,牛肉炒刀削,19,1次,支付宝,公司附近兰州拉面门店,
2020/9/1,19:29,晚餐,拉面,15,1次,支付宝,公司附近兰州拉面门店,
2020/9/4,14:53,外卖券,美团外卖满10减10满减券,2.4,1次,支付宝,联通手机营业厅APP,
2020/9/10,9:03,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5,1份,支付宝,楼下包子铺,
2020/9/8,9:05,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5,1份,支付宝,楼下包子铺,
2020/9/3,9:29,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5,1份,支付宝,楼下包子铺,
2020/9/2,8:54,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5,1份,支付宝,楼下包子铺,
2020/9/1,9:15,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5,1份,支付宝,楼下包子铺,
2020/9/15,11:20,午餐,粥,13.41,1份,支付宝,美团外卖APP,
2020/9/14,20:08,夜宵,羊肉粉丝汤,20.5,1份,支付宝,美团外卖APP,
2020/9/14,11:21,午餐,牛肉面,16.9,1份,支付宝,美团外卖APP,
2020/9/13,11:40,午餐,披萨,15.9,1份,支付宝,美团外卖APP,
2020/9/13,11:37,午餐,外卖代金券 ￥3*3,4,3张,支付宝,美团外卖APP,
2020/9/13,11:36,午餐,奶茶,7.81,1份,支付宝,美团外卖APP,
2020/9/13,11:35,午餐,外卖红包加量包 ￥5*20,50,1份,支付宝,美团外卖APP,
2020/9/11,18:40,晚餐,重庆小面,18.68,1份,支付宝,美团外卖APP,
2020/9/10,11:18,午餐,牛肉面,9.09,1份,支付宝,美团外卖APP,
2020/9/9,11:16,午餐,卤肉饭拼宫保鸡丁,19.5,1份,支付宝,美团外卖APP,
2020/9/8,11:22,午餐,米线,20.1,1份,支付宝,美团外卖APP,
2020/9/7,21:01,夜宵,臭豆腐,16,1份,支付宝,美团外卖APP,
2020/9/7,17:22,晚餐,韭菜鸡蛋饺子,10.88,1份,支付宝,美团外卖APP,
2020/9/7,10:53,电影,电影八佰,19.9,1份,支付宝,美团外卖APP,
2020/9/7,10:38,午餐,云吞面,21,1份,支付宝,美团外卖APP,
2020/9/6,11:10,午餐,牛肉面+鱼丸汤,20.68,1份,支付宝,美团外卖APP,
2020/9/5,18:38,晚餐,臭豆腐,19.6,1份,支付宝,美团外卖APP,
2020/9/5,18:37,晚餐,外卖代金券 ￥3*3,3,1份,支付宝,美团外卖APP,
2020/9/5,11:52,午餐,酱饼+胡辣汤,14.38,1份,支付宝,美团外卖APP,
2020/9/4,11:16,午餐,卤肉饭拼宫保鸡丁,17.5,1份,支付宝,美团外卖APP,
2020/9/3,11:20,午餐,艇仔粥,10.3,1份,支付宝,美团外卖APP,
2020/9/2,22:30,夜宵,韭菜鸡蛋饺子,14.88,1份,支付宝,美团外卖APP,
2020/9/2,11:31,午餐,黑椒牛柳拼宫保鸡丁,17.9,1份,支付宝,美团外卖APP,
2020/9/2,11:31,午餐,外卖代金券 ￥3*3,3,1份,支付宝,美团外卖APP,
2020/9/2,11:30,外卖会员,美团外卖会员,15,1份,支付宝,美团外卖APP,
2020/9/1,11:27,午餐,素臊子面+鱼丸汤,13.39,1份,支付宝,美团外卖APP,
2020/9/1,11:25,午餐,美团订单-20090111100400000004416724993056,5,1份,支付宝,美团外卖APP,
2020/9/13,21:01,网购,java书,48,1个,支付宝,拼多多APP,
2020/9/12,11:44,网购,莫斯,3.5,1个,支付宝,拼多多APP,
2020/9/9,23:35,网购,扬子除湿机,170,1个,支付宝,拼多多APP,
2020/9/9,11:25,网购,夏威夷果,9.9,1个,支付宝,拼多多APP,
2020/9/8,14:13,网购,握力器,5.1,1个,支付宝,拼多多APP,
2020/9/9,0:07,网购,迪卡侬运动套装男夏跑步健身宽松休闲速干t恤短袖短裤两件套RUNM,111.8,1次,支付宝,淘宝APP,
2020/9/7,19:52,网购,纯水乐饮用纯净水整箱矿泉水550ml*24瓶大瓶 等多件,0,1次,支付宝,淘宝APP,
2020/9/7,17:29,网购,天猫超市卡299面额（年货节专享）,299,1次,支付宝,淘宝APP,
2020/9/14,8:41,保险,相互宝分摊-9月第1期-*博,4.17,1期,支付宝,支付宝APP,
2020/9/15,16:04,竞彩,阿香智慧店,10,1次,支付宝,阿香竞彩店APP,
2020/9/15,9:53,竞彩,阿香智慧店,72.57,1次,支付宝,阿香竞彩店APP,
,,,,,,,,
2020/9/14,20:42,竞彩,阿香智慧店,20,1次,支付宝,阿香竞彩店APP,
2020/9/14,20:40,竞彩,阿香智慧店,9,1次,支付宝,阿香竞彩店APP,
2020/9/13,22:56,竞彩,阿香智慧店,30,1次,支付宝,阿香竞彩店APP,
2020/9/13,22:51,竞彩,阿香智慧店,10,1次,支付宝,阿香竞彩店APP,
2020/9/13,22:50,竞彩,阿香智慧店,20,1次,支付宝,阿香竞彩店APP,
2020/9/13,22:49,竞彩,阿香智慧店,40,1次,支付宝,阿香竞彩店APP,
2020/9/13,20:25,晚餐,八合里牛肉火锅(购物公园店)消费,299,1次,支付宝,八合里牛肉火锅(购物公园店),总价299，老蒋转了150
2020/9/13,16:14,饮品,百里臣金地分店消费：脉动*1+冰红茶*1,9,,支付宝,小区门口便利店,
2020/9/12,18:43,晚餐,秦都面馆外卖订单,15.6,,支付宝,饿了么APP,
2020/9/12,2:39,烟,易站沙尾店：南京,18,1盒,支付宝,便利店,
2020/9/11,22:38,饮品,康师傅冰红茶500ML,5,1瓶,支付宝,友宝售货机,
2020/9/11,22:37,饮品,友宝-脉动青柠味维生素饮料600ml,6.5,1瓶,支付宝,友宝售货机,
2020/9/11,18:37,水果,花果园水果店(福田店),16.3,1次,支付宝,饿了么APP,
2020/9/11,17:38,外卖券,美团外卖满5减5满减券,2,1张,支付宝,联通手机营业厅APP,
2020/9/11,11:42,午餐,豫见焖面外卖订单,15.9,1次,支付宝,饿了么APP,
